Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DZA,Algeria,32417,Press Freedom Rank,Total,52,59,79,69,64,86,54,94,93,109,110,113,123,128,134,136,141,146,146
ECU,Ecuador,32416,Press Freedom Index,Total,5.5,7.67,16.5,21.75,15.25,18.5,15.5,20,27.5,34.69,31.16,33.65,33.21,,33.64,30.56,31.88,32.62,32.83
ECU,Ecuador,32417,Press Freedom Rank,Total,78,107,23,36,17,28,17,40,62,103,84,102,103,99,105,92,97,98,96
EGY,"Egypt, Arab Rep.",32416,Press Freedom Index,Total,34.5,34.25,43.5,52,46.25,58,50.25,51.38,43.33,48.66,51.89,50.17,54.45,,55.78,56.72,56.47,56.82,56.17
EGY,"Egypt, Arab Rep.",32417,Press Freedom Rank,Total,57,61,79,84,70,111,83,98,87,142,148,151,153,153,161,161,163,166,166
ERI,Eritrea,32416,Press Freedom Index,Total,83.7,91.5,93.25,99.75,97.5,114,97.5,115.5,105,84.83,84.83,84.86,83.92,,84.24,84.24,80.26,83.5,81.45
ERI,Eritrea,32417,Press Freedom Rank,Total,94,122,122,120,110,12,123,13,7,172,179,176,177,174,179,179,178,178,180
ESP,Spain,32416,Press Freedom Index,Total,7.8,7.67,9,8.33,10,10.25,8,11,12.25,20.5,20.63,19.95,19.92,,18.69,20.51,21.99,22.16,20.44
ESP,Spain,32417,Press Freedom Rank,Total,87,107,119,106,3,5,108,10,11,22,24,28,30,26,29,31,29,29,29
EST,Estonia,32416,Press Freedom Index,Total,,2.5,2,1.5,2,1,2,0.5,2,9.26,9.63,11.19,14.31,,13.55,14.08,12.27,12.61,15.25
EST,Estonia,32417,Press Freedom Rank,Total,,29,30,4,32,2,25,1,40,174,180,5,10,9,12,12,11,14,15
ETH,Ethiopia,32416,Press Freedom Index,Total,37.5,37.5,37,42,75,63,47.75,49,49.38,39.57,40.58,41.83,45.13,,50.34,50.17,35.11,32.82,33.63
ETH,Ethiopia,32417,Press Freedom Rank,Total,62,69,64,71,99,116,77,93,97,121,132,135,136,143,150,150,110,99,101
FIN,Finland,32416,Press Freedom Index,Total,0.5,0.5,0.5,0.5,0.5,1.5,2,0,0,6.38,6.4,7.52,8.59,,8.92,10.26,7.9,7.93,6.99
FIN,Finland,32417,Press Freedom Rank,Total,1,1,1,1,1,3,25,2,2,148,155,162,169,171,3,4,2,2,2
FJI,Fiji,32416,Press Freedom Index,Total,,11.5,16,14,14,33.5,16,60,52.75,32.69,32.57,31.28,29.37,,28.64,26.55,27.18,27.41,27.92
FJI,Fiji,32417,Press Freedom Rank,Total,,9,21,16,14,68,18,106,107,92,96,87,76,63,67,57,52,52,55
FRA,France,32416,Press Freedom Index,Total,3.3,4.17,3.5,6.25,9,9.75,7.67,10.67,13.38,21.6,21.89,21.15,23.83,,22.24,21.87,22.21,22.92,22.6
FRA,France,32417,Press Freedom Rank,Total,47,75,55,92,103,137,105,6,15,23,28,33,41,36,39,33,32,34,34
GAB,Gabon,32416,Press Freedom Index,Total,20.5,31.25,37.5,26,28.5,31.5,26.75,43.5,28.75,28.69,31.32,31.38,32.2,,34.83,32.37,35.6,37.2,38.6
GAB,Gabon,32417,Press Freedom Rank,Total,22,53,66,46,50,65,43,83,65,74,87,89,96,102,108,108,115,121,117
GBR,United Kingdom,32416,Press Freedom Index,Total,6,4.25,6,5.17,6.5,8.25,5.5,4,6,16.89,19.93,20,21.7,,22.26,23.25,22.23,22.93,21.59
GBR,United Kingdom,32417,Press Freedom Rank,Total,80,76,99,77,87,130,81,77,114,15,22,29,34,37,40,40,33,35,33
GEO,Georgia,32416,Press Freedom Index,Total,,17.33,27.5,25.17,21,20.83,31.25,18.83,27,30.09,29.78,27.7,27.96,,27.76,27.34,28.98,28.59,28.64
GEO,Georgia,32417,Press Freedom Rank,Total,,20,46,44,34,36,53,35,61,85,73,64,60,60,64,61,60,60,60
