Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
RWA,Rwanda,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SAU,Saudi Arabia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SDN,Sudan,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEN,Senegal,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SGP,Singapore,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SLB,Solomon Islands,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLE,Sierra Leone,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
SLV,El Salvador,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SMR,San Marino,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SOM,Somalia,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRB,Serbia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SSD,South Sudan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
STP,Sao Tome and Principe,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,0,0,0,0,0,0,,,,,
SUR,Suriname,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SVK,Slovak Republic,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SVN,Slovenia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SWE,Sweden,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SWZ,Swaziland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
