country_year,country,year,electexec,electleg,electboth,v2xel_elecpres,v2xel_elecparl,AF.el_rating,PEI.el_rating,VDEM.el_rating,PEI.EMB_cap,VDEM.EMB_cap,PEI.protest,VDEM.turnout,VDEM.VAP_turnout,nelda17,nelda18,nelda11,nelda45,nelda46,nelda3,nelda4,nelda5,nelda29,nelda30,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parcomp,FH.fh_total,WB.GDP_ppc,WB.FDI,WB.inflation,WB.gini,WB.urban_pop,literacy_imputed,VDEM.yrs_education,press_freedom,VDEM.elec_viol,VDEM.international_monitors_present,VDEM.access_to_public_services_social_group,VDEM.access_to_public_services_pol_group,VDEM.regime_support_by_an_ethnic_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_support_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_duration_group,after_non_violent_number_of_events,after_non_violent_number_of_fatalities,after_violent_number_of_events,after_violent_number_of_fatalities,before_non_violent_number_of_events,before_non_violent_number_of_fatalities,before_violent_number_of_events,before_violent_number_of_fatalities,on_date_non_violent_number_of_events,on_date_non_violent_number_of_fatalities,on_date_violent_number_of_events,on_date_violent_number_of_fatalities,events_before,events_after,fatilities_before,fatilities_after,change_in_events,change_in_fatalities,change_in_violent_events,change_in_non_violent_events,change_in_violent_fatalities,change_in_non_violent_fatalities
Cote d'Ivoire-2010,Cote d'Ivoire,2010,NA,NA,NA,1,0,NA,NA,2.189,NA,2.131,NA,83.73,55.61,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,13,1687.21651908941,358468317.342002,1.2264561213548,NA,47.33,40.9816284179688,3.78,NA,0.318,1,1.252,1.653,0.333,0,0,11,0,133,335,3,0,9,12,0,0,3,0,12,144,12,335,11,26.916666666666668,13.777777777777779,2.6666666666666665,26.916666666666668,NA
Cote d'Ivoire-2011,Cote d'Ivoire,2011,NA,NA,NA,0,1,NA,NA,2.198,NA,2.381,NA,36.56,18.16,0,0,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,12,1558.96869731226,301972462.517861,4.91243395052462,NA,47.751,40.9816284179688,3.78,NA,0.361,1,1.252,1.653,0.506,0,0,0,0,7,7,2,0,13,13,0,0,0,0,15,7,13,7,-0.5333333333333333,-0.46153846153846156,-0.46153846153846156,-1,-0.46153846153846156,NA
Cote d'Ivoire-2015,Cote d'Ivoire,2015,NA,NA,NA,1,0,NA,NA,2.886,NA,3.058,NA,52.86,25.88,1,0,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,8,1972.54568305836,494408755.776341,1.25149954781474,41.5,49.444,89.8934173583984,3.78,30.17,2.588,1,1.252,1.653,0.429,0,0,4,0,6,13,5,0,10,2,0,0,0,0,15,10,2,13,-0.33333333333333337,5.5,-0.4,-0.19999999999999996,5.5,NA
Cote d'Ivoire-2016,Cote d'Ivoire,2016,NA,NA,NA,0,1,NA,NA,2.886,NA,3.058,NA,34.1,16.15,1,0,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,8,2061.21524653499,577871524.156215,0.723178457513252,NA,49.881,89.8934173583984,3.78,NA,2.586,1,1.252,1.653,0.429,0,0,3,0,40,7,5,0,15,9,0,0,0,0,20,43,9,7,1.15,-0.2222222222222222,1.6666666666666665,-0.4,-0.2222222222222222,NA
Cote d'Ivoire-2020,Cote d'Ivoire,2020,NA,NA,NA,1,0,NA,NA,1.192,NA,3.362,NA,53.9,26.89,0,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,9,2313.79338827553,508531022.5,2.42500656821829,NA,51.706,89.8934173583984,3.78,NA,0.853,1,1.252,1.653,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire-2021,Cote d'Ivoire,2021,NA,NA,NA,0,1,NA,NA,1.192,NA,3.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78,NA,1.106,NA,1.252,1.653,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo-2006,Democratic Republic of the Congo,2006,No,No,No,1,1,NA,NA,2.346,NA,0.954,NA,70.54,61.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.546,NA,1.483,1,-0.991,-0.903,0.273,0,0,10,0,47,176,7,0,57,77,0,0,0,0,64,57,77,176,-0.109375,1.2857142857142856,-0.17543859649122806,0.4285714285714286,1.2857142857142856,NA
Democratic Republic of the Congo-2011,Democratic Republic of the Congo,2011,No,No,No,1,1,NA,NA,1.757,NA,0.848,NA,59.05,55.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.592,NA,1.367,1,-0.991,-0.903,0.273,0,0,21,0,117,238,13,0,166,118,2,0,4,0,179,138,118,238,-0.22905027932960897,1.0169491525423728,-0.29518072289156627,0.6153846153846154,1.0169491525423728,NA
Democratic Republic of the Congo-2018,Democratic Republic of the Congo,2018,NA,NA,NA,1,1,NA,NA,1.652,NA,0.515,NA,45.4,41.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.592,NA,1.253,1,-0.991,-0.903,0.273,0,0,100,0,508,832,76,0,394,1237,4,0,15,6,470,608,1237,832,0.29361702127659584,-0.3274050121261115,0.28934010152284273,0.3157894736842106,-0.3274050121261115,NA
Djibouti-2003,Djibouti,2003,No,Yes,No,0,1,NA,NA,1.223,NA,1.594,NA,48.42,23.56,0,1,1,1,1,1,1,1,0,NA,0,1,4,3,10,NA,14224542.9634089,1.98196734627542,NA,76.67,NA,NA,55,3.793,1,-0.67,-0.453,0.571,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
